"","word","tfidf"
"主道","主道",0.00708416930651394
"猛虎","猛虎",0.00707669457111548
"郭襄笑","郭襄笑",0.00707354650673545
"掌力","掌力",0.00706365893699338
"蛛網","蛛網",0.0070581616638229
"朗聲","朗聲",0.00704597326029435
"聯手","聯手",0.00703262587610795
"長鬍子","長鬍子",0.00703137586647605
"療傷","療傷",0.00703035346205096
"迎親","迎親",0.00703028810421052
"拜見","拜見",0.00702985439595052
"機關","機關",0.00701603338289026
"鐵槍","鐵槍",0.00701241258718521
"兵將","兵將",0.00699899207775671
"懷中","懷中",0.00699480058504324
"男子","男子",0.00698689346965081
"楊康","楊康",0.00698590839488786
"鄂爾多","鄂爾多",0.00698415760483906
"金杵","金杵",0.00698125136759495
"精兵","精兵",0.00696298570798461
"好不好","好不好",0.00696063573716723
"頭上","頭上",0.00694793318156708
"寒玉","寒玉",0.00694793119641576
"靖哥哥","靖哥哥",0.00694123143344848
"修習","修習",0.00694122503885537
"一間","一間",0.00693764695482924
"昨晚","昨晚",0.00693565238044687
"兄長","兄長",0.00692426633456159
"野獸","野獸",0.0069219701916555
"女人","女人",0.00691039001966965
"燭臺","燭臺",0.00690322786150269
"頑童","頑童",0.0069005161483591
"也好","也好",0.00688673108312996
"七個","七個",0.00688348996864981
"城牆","城牆",0.0068811449363347
"小侄","小侄",0.00687644403407388
"鐵匠","鐵匠",0.00687084403762292
"客人","客人",0.0068657782095627
"力氣","力氣",0.00686550524802092
"一枚","一枚",0.006860397450276
"師長","師長",0.00685540507062137
"鐵錘","鐵錘",0.00685270060094407
"六人","六人",0.0068525954300325
"蛇膽","蛇膽",0.00683368248078528
"大營","大營",0.00683283763735667
"點蒼漁隱","點蒼漁隱",0.00681696704546546
"扇子","扇子",0.00680199457519186
"攻城","攻城",0.00680072493870753
"陰陽","陰陽",0.00679706923305352
"劍鞘","劍鞘",0.00679182341489916
"兩枚","兩枚",0.00678453758299216
"月光","月光",0.00677762129916999
"數十年","數十年",0.00677479248458874
"大鷹","大鷹",0.00676475334378274
"蓮子","蓮子",0.00676475334378274
"十餘年","十餘年",0.00676045108601774
"體內","體內",0.006756792873713
"恩師","恩師",0.00674742988935821
"寒玉床","寒玉床",0.00674384593347427
"君寶","君寶",0.00674271432836408
"城門","城門",0.00674015939858098
"斷劍","斷劍",0.00673928552317057
"冰魄","冰魄",0.00672238009120621
"郭破虜","郭破虜",0.00672187612593197
"答允","答允",0.00671898551623072
"城外","城外",0.00671884881742859
"極為","極為",0.00671131533629664
"藏僧","藏僧",0.00671070506462588
"舅舅","舅舅",0.00670932449352829
"手帕","手帕",0.00670360372052915
"巨石","巨石",0.00669421726156919
"本幫","本幫",0.00669392696485479
"地底","地底",0.00669127662527802
"天竺","天竺",0.00667866647405579
"女魔頭","女魔頭",0.00667622774753491
"大雪","大雪",0.00666925918280848
"黃老邪","黃老邪",0.00666288431713788
"名字","名字",0.00665712905259344
"宮中","宮中",0.00664679100084855
"吊死鬼","吊死鬼",0.00664442385619161
"漢人","漢人",0.00664277013171305
"惡念","惡念",0.006637884355675
"床上","床上",0.00663264788489874
"公孫谷主","公孫谷主",0.00663009716065964
"高僧","高僧",0.00661845090368275
"王十三","王十三",0.00661725594639398
"小孩兒","小孩兒",0.00660497002102656
"十月","十月",0.00660453614938885
"食指","食指",0.00660211774744084
"四大","四大",0.0066002516431062
"石上","石上",0.00659724473196289
"大夥兒","大夥兒",0.00658105022393736
"三隻","三隻",0.00657956750874108
"段皇爺","段皇爺",0.00657650541982637
"小兄弟","小兄弟",0.00656986823377317
"木箱","木箱",0.00656435111811602
"一十六年","一十六年",0.00655348054340777
"三通","三通",0.00654403127777096
"叔父","叔父",0.00654372474666789
"小王","小王",0.00653598000964562
"我師","我師",0.00653165270424826
"蘋果","蘋果",0.00652770426777448
"傷勢","傷勢",0.00652127665730965
"藍天","藍天",0.00651799881070633
"令兄","令兄",0.00651436994173362
"規矩","規矩",0.00651056897069291
"出家","出家",0.00650791794812532
"這套","這套",0.00650663094892543
"生日","生日",0.0064953932244335
"幫手","幫手",0.00649168138024599
"岳父","岳父",0.00648937397955957
"數尺","數尺",0.00648912409442201
"須道人","須道人",0.00647598308111431
"手足","手足",0.00647417225789313
"耳朵","耳朵",0.00647363643526002
"老頭","老頭",0.00647184881220749
"女孩兒","女孩兒",0.00647156144759155
"她們","她們",0.0064691194527819
"鞋子","鞋子",0.00646073052935914
"樹枝","樹枝",0.00644451956601665
"朋友","朋友",0.00644068374331007
"哥兒倆","哥兒倆",0.00643630106328143
"祖師爺","祖師爺",0.00643029450066104
"兩步","兩步",0.00643009059273255
"白雪","白雪",0.00642894737087036
"聚會","聚會",0.00642633393054076
"銀輪","銀輪",0.00642209435730802
"矛頭","矛頭",0.00641875493197326
"而已","而已",0.00641619605716995
"成吉思汗","成吉思汗",0.00641488403668445
"林中","林中",0.00640066811856725
"拳腳","拳腳",0.00639885004123913
"我媽","我媽",0.00639348739351642
"程英見","程英見",0.00638492440039018
"西毒","西毒",0.00638321190111936
"那日","那日",0.00637179723853662
"掌心","掌心",0.00636961882109727
"刀子","刀子",0.00636928796432228
"紅馬","紅馬",0.00636213651117651
"為師","為師",0.00636166644351905
"落地","落地",0.00634826280100238
"錦帕","錦帕",0.00634794564413666
"精妙","精妙",0.00633715411129536
"望望","望望",0.00633394082351397
"裡棒","裡棒",0.00633063674055263
"袖子","袖子",0.00632576099103454
"雄雕","雄雕",0.00632487209918702
"劍招","劍招",0.00632467748508439
"一身","一身",0.00632396745398965
"好漢","好漢",0.00632384753589216
"衣服","衣服",0.00631778106561602
"就要","就要",0.00631576486203867
"男女","男女",0.00631530677327772
"耶律","耶律",0.00630291383114307
"素來","素來",0.00628737048755025
"轉世","轉世",0.00627738145921329
"百花","百花",0.00627585860246151
"百草仙","百草仙",0.00627111337811515
"豪傑","豪傑",0.00626782312292599
"逃走","逃走",0.00626157742369987
"魯幫主","魯幫主",0.00625960113991452
"賊禿","賊禿",0.00625951572403697
